,Cluster,r2,mae,rmse,totalCapacity,location,averageHourlyRides,maxHourlyRides
0,0,0.9897515576022023,11.201208838001515,396.8236432360664,525,"((38.85, -77.06))",166.56705384178653,1012.0
1,1,0.9520310475541067,1.4591605218377766,4.682278741846285,389,"((38.91, -77.23))",10.869469653998866,56.875
2,2,0.9906836856152539,6.279669540229885,151.8042302741858,506,"((38.93, -76.99))",106.23215996168582,833.21875
3,3,0.9481072551827405,1.5690960207612457,5.383998567257786,175,"((39.05, -77.12))",11.162557670126874,60.5
4,4,0.9939629536462085,21.594274252370532,1551.369969741521,1015,"((38.89, -77.09))",420.1637946754194,2396.65625
5,5,0.9935066235767576,149.29562076346772,79114.58556053224,2248,"((38.9, -77.04))",2917.39502318944,18650.5
6,6,0.9631924144180591,2.0582134211941905,9.785730420420926,476,"((38.96, -77.35))",16.21000874125874,111.34375
7,7,0.9893873886829812,4.3728378921963,54.909158474959774,545,"((39.0, -77.03))",63.49386564762671,359.8125
8,8,0.9951517024282082,78.76870519713262,21329.670598818324,1958,"((38.89, -77.0))",1765.4427867383513,9551.1875
9,9,0.9734889351513104,2.35218081134893,14.831357037860876,339,"((39.1, -77.17))",21.54316513190642,140.4375
10,10,0.9878592749233349,9.990438342967245,323.25658643424856,647,"((38.81, -77.05))",142.10428709055876,904.40625
11,11,0.9660655474161801,1.974977587090164,9.057811799596568,283,"((38.88, -77.16))",17.711882044057376,81.78125
12,12,0.9919261471949034,9.28631120527307,254.7606796580744,569,"((38.96, -77.09))",160.1755061205273,811.5625
13,13,0.7882564464381044,0.3813833841463415,0.2891547970655488,47,"((38.9, -76.84))",2.0766958841463414,8.8125
14,14,0.9810701989775326,2.5382343550447,16.20294041347382,452,"((38.83, -77.11))",27.33772349936143,142.25
15,15,0.9393985899350682,1.0347012673506337,2.326287388729632,233,"((38.97, -76.94))",7.184520217260109,33.84375
16,16,0.9777821202588897,2.7105058886509634,19.284956755219486,494,"((38.85, -76.99))",28.730928800856532,153.40625
17,17,0.9967642466814681,36.90048076923077,4332.440744144119,1251,"((38.93, -77.03))",1036.8364378354204,6200.96875
18,18,0.8730303438936966,0.5851125776397516,0.7046565654114907,171,"((39.06, -76.97))",3.128299689440994,18.40625
19,19,0.9714670691174739,1.7706238829311887,7.614412718526586,399,"((38.89, -76.94))",16.15470006702413,90.71875
